"perm","timestep","event","point_id","parent_id","x","y","stage_from","stage_to","detail","provisional_x","provisional_y","habitat","habitat_nudged"
1,18,"stage_transition",426,145,1617.66914889088,972.05181334923,1,2,"transition_kernel",1617.66914889088,972.05181334923,1,FALSE
1,18,"stage_transition",427,145,1716.40541559063,873.93267389251,1,2,"transition_kernel",1716.40541559063,873.93267389251,1,FALSE
1,18,"stage_transition",428,147,1923.42784091231,1236.78072643231,1,2,"transition_kernel",1923.42784091231,1236.78072643231,1,FALSE
1,18,"stage_transition",429,147,1802.71110073293,1443.83399320165,1,2,"transition_kernel",1802.71110073293,1443.83399320165,1,FALSE
1,18,"stage_transition",430,151,1936.11783869631,492.838662363871,1,2,"transition_kernel",1936.11783869631,492.838662363871,1,FALSE
1,18,"stage_transition",431,154,1771.2897295324,1183.68588700526,1,2,"transition_kernel",1771.2897295324,1183.68588700526,1,FALSE
1,18,"stage_transition",433,158,1096.55307212061,2033.35193603453,1,2,"transition_kernel",1096.55307212061,2033.35193603453,1,FALSE
1,18,"stage_transition",434,159,983.44148928912,1983.39924433233,1,2,"transition_kernel",983.44148928912,1983.39924433233,1,FALSE
1,18,"stage_transition",435,159,1155.79032628877,2098.90358116386,1,2,"transition_kernel",1155.79032628877,2098.90358116386,1,FALSE
1,18,"stage_transition",436,159,1040.14747962376,1965.06303823191,1,2,"transition_kernel",1040.14747962376,1965.06303823191,1,FALSE
1,18,"stage_transition",439,166,2439.1530482432,2088.9029677263,1,2,"transition_kernel",2439.1530482432,2088.9029677263,1,FALSE
1,18,"stage_transition",440,166,1349.68779131575,1504.7961898289,1,2,"transition_kernel",1349.68779131575,1504.7961898289,1,FALSE
1,18,"stage_transition",441,167,1531.08578305408,871.142005141158,1,2,"transition_kernel",1531.08578305408,871.142005141158,1,FALSE
1,18,"stage_transition",442,167,1548.32883392897,1027.25563997348,1,2,"transition_kernel",1548.32883392897,1027.25563997348,1,FALSE
1,18,"stage_transition",443,168,1303.2713245545,1467.56755747653,1,2,"transition_kernel",1303.2713245545,1467.56755747653,1,FALSE
1,18,"stage_transition",444,170,551.021668013751,530.954276350122,1,2,"transition_kernel",551.021668013751,530.954276350122,1,FALSE
1,18,"stage_transition",447,175,1729.08172557488,1175.67302047918,1,2,"transition_kernel",1729.08172557488,1175.67302047918,1,FALSE
1,18,"stage_transition",449,176,1398.76021372874,1675.01276155084,1,2,"transition_kernel",1398.76021372874,1675.01276155084,1,FALSE
1,18,"stage_transition",451,179,861.097983750872,1308.92644975854,1,2,"transition_kernel",861.097983750872,1308.92644975854,1,FALSE
1,18,"stage_transition",452,179,1001.86072679927,1340.89075458082,1,2,"transition_kernel",1001.86072679927,1340.89075458082,1,FALSE
1,18,"stage_transition",453,182,816.009027753756,647.82696535223,1,2,"transition_kernel",816.009027753756,647.82696535223,1,FALSE
1,18,"stage_transition",455,187,1848.20384430565,1194.09364260209,1,2,"transition_kernel",1848.20384430565,1194.09364260209,1,FALSE
1,18,"stage_transition",456,188,1365.02039850686,1397.1817474189,1,2,"transition_kernel",1365.02039850686,1397.1817474189,1,FALSE
