farm_id,size_ha,bef_nos,shp_nos,postal_twn,locality,postal_cod,farm_type,X,Y,Avg_EI,CNGpresent,CNGclose,sheep_or_beef_or_CNG,Probability_Estab
HB05264,20,33,17,NA,Porangahau,NA,BEF,176.5188159559682,-40.2568932,28,0,0,1,0.7
HB05265,466.4,0,0,Ongaonga,Ongaonga,4278,SHP,176.33031282171095,-39.8608732,12.666666666666666,0,0,1,0.31666666666666665
HB05268,857.5,911,4347,Waipawa,Ruataniwha,4272,SNB,176.46013478212996,-39.92674255,28.333333333333332,0,0,1,0.7083333333333333
HB05269,216,0,1950,Waipawa,Waipawa,4272,SHP,176.47427883861081,-39.921251399999996,28.25,0,0,1,0.70625
HB05271,57.4,39,447,Waipawa,Ruataniwha,4272,SNB,176.49528385109164,-39.92632055,28.5,0,0,1,0.7125
HB05274,1069,400,2230,Porangahau,Porangahau,4291,SNB,176.47503666155308,-40.27243885,22.5,0,0,1,0.5625
HB05275,297.2,100,2000,Ongaonga,Waipawa,4279,SNB,176.44920438639923,-39.87727199999999,25,0,0,1,0.625
HB05277,316.2,337,1540,Porangahau,Porangahau,4291,SNB,176.48677415406354,-40.3504295,25,0,0,1,0.625
HB05279,313.4,500,0,Waipukurau,Waipukurau,4272,BEF,176.47280083470486,-39.9430013,29,0,0,1,0.725
HB05281,476,500,2890,Takapau,Takapau,4286,SNB,176.3348325803638,-40.031856399999995,13.833333333333334,0,0,1,0.3458333333333334
HB05284,20.2,27,0,Waipawa,Waipawa,4275,BEF,176.57648944065517,-39.95943665,29.5,54,54,1,0.7375
HB05286,301.4,110,2693,Ongaonga,Ongaonga,4278,SNB,176.35509821195905,-39.885065499999996,23.333333333333332,0,0,1,0.5833333333333333
HB05287,40.6,30,0,Ongaonga,Ongaonga,4244,BEF,176.42724778151506,-39.9240013,26.75,0,0,1,0.66875
HB05288,5.24,6,0,Waipawa,Waipawa,4272,LIF,176.57347166622816,-39.94891505,29,28,28,1,0.725
HB05289,64.12,90,166,Otane,Waipawa,4276,SNB,176.5693170179744,-39.965654349999994,29.5,0,0,1,0.7375
HB05290,651,500,1500,Waipukurau,Waipukurau,4242,SNB,176.5900832322319,-39.96412485,29.5,0,4,1,0.7375
HB05291,13.5,6,51,Waipawa,Waipawa,4272,LIF,176.54105066239646,-39.94510095,29,23,24,1,0.725
